,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41658139030872854,0.32914046108408157,0.134388497750198
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8331627499112129,0.6708595808446409,0.733321702385066
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42886388800130787,0.9507337615534727,0.5574608577288376
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46468782936924935,0.47589100029007336,0.5684344376822216
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5834186096912715,0.11006289654285836,0.22363533670662217
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7379733927937235,0.5241090101921073,0.30949939388331293
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1903787142349788,0.5241090101921073,0.5701698370156406
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15455476263162257,0.11006289654285836,0.048462077112384816
8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.42886388800130787,0.9507337615534727,0.6585046626714872
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3091095150278304,0.31656184433632634,0.3461822758055808
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9518935507040645,0.2190775750234038,0.5332757285158792
11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2620266072062765,0.11006289654285836,0.37443955068381907
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8689867219853986,0.8899371453858641,0.7183534427882998
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1668372500887871,0.0,0.36992135629227185
14,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5475946887941594,0.6708595808446409,0.9094461093981021
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5241090101921073,0.37654410822334605
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6069600636020485,0.7798742383608251,0.5290451977963726
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03582395160335622,0.32914046108408157,0.0
18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8812691889717337,0.2809224511820477,0.3195631404669472
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21392016814575576,0.07337526436190558,0.17783024648443002
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9518935507040645,0.2190775750234038,0.6724677125649243
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9160696400423672,0.32914046108408157,0.23518794116677133
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7379733927937235,0.5241090101921073,0.20042528183322916
23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6069600636020485,0.32914046108408157,0.17426703618993866
24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3091095150278304,0.9507337615534727,0.5232089125896395
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21392016814575576,0.11006289654285836,0.2941087508893465
26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3091095150278304,0.7924528760729416,0.7315096566837405
27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5711361529403511,0.049266246832271904,0.17533624866237263
28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17911975801678115,0.26834381346993125,0.3030857234777975
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46468782936924935,0.47589100029007336,0.4689021095783563
30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6708595808446409,0.8434224397789314
31,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.46468782936924935,0.7924528760729416,0.37968481304451074
32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5957011278546802,0.6708595808446409,0.7840565928179932
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08393040294637467,0.01257861674775524,0.2301544460064182
34,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6069600636020485,0.6708595808446409,0.610454976153388
35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7379733927937235,0.32914046108408157,0.2556713036818212
36,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6069600636020485,0.6708595808446409,0.8471135858538466
37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11873081102826635,0.02410901752963367,0.32374477097812404
38,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6069600636020485,0.7924528760729416,0.805888216390886
39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29785055880963274,0.5241090101921073,0.5325847253223503
40,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7379733927937235,0.45073377727674346,0.6326283605617449
41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023541455957859895,0.2809224511820477,1.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11873081102826635,0.08595388320609694,0.5380150550906017
43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.08393040294637467,0.5241090101921073,0.06282475192517978
44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9160696400423672,0.46331239402449875,0.3881734811275279
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21392016814575576,0.32914046108408157,0.26022814388708426
46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4042988721453198,0.6708595808446409,0.8529633691922656
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.059365403467050215,0.11006289654285836,0.6162927785919772
48,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6069600636020485,0.5241090101921073,0.7512555747589054
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46468782936924935,0.47589100029007336,0.1680111055791249
50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7379733927937235,1.0,0.18774903638773677
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3091095150278304,0.8899371453858641,0.4064222227101393
52,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5475946887941594,0.9381551867344399,0.9961050216729597
53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14329579617801017,0.2190775750234038,0.7413969160675535
54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46468782936924935,0.32914046108408157,0.4382273960487342
55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.46468782936924935,0.7924528760729416,0.45033112190105185
